smiles,label
OC1=CC=C([C@@H](CCCCCCCCCCC(N(C)CCCC)=O)C2=C(C)C=C(OCC(O)=O)C=C2C)C=C1C(C)C,-
OC1=C(C(C)C)C=C(CC2=C(C)C=C(OCC(O)=O)C=C2C)C=C1C#CC3=CC=C(N(=O)=O)C=C3,-
OC1=CC=C(N(C)C2=C(C)C=C(C[C@H](S3)C(NC3=O)=O)C=C2C)C=C1C(C)C,-
OC1=CC=C(N(CC2CC2)C3=C(C)C=C(C[C@H](S4)C(NC4=O)=O)C=C3C)C=C1C(C)C,-
OC1=CC=C(N(CCCCCC)C2=C(C)C=C(C[C@H](S3)C(NC3=O)=O)C=C2C)C=C1C(C)C,-
OC1=CC=C(N(CC2=CC=CC=C2)C3=C(C)C=C(C[C@H](S4)C(NC4=O)=O)C=C3C)C=C1C(C)C,-
OC1=CC=C(N(CC(C)C)C2=C(C)C=C(C[C@H](S3)C(NC3=O)=O)C=C2C)C=C1C(C)C,-
OC1=CC=C(N(C/C=C(C)\C)C2=C(C)C=C(C[C@H](S3)C(NC3=O)=O)C=C2C)C=C1C(C)C,-
OC1=CC=C(N(CC2CCCCC2)C3=C(C)C=C(C[C@H](S4)C(NC4=O)=O)C=C3C)C=C1C(C)C,-
OC1=C(C2=CC=C([N+]([O-])=O)C=C2)C=C(CC3=C(C)C=C(OCC(O)=O)C=C3C)C=C1C(C)C,-
OC1=C(/C=C\C2=CC=NC=C2)C=C(CC3=C(Br)C=C(CCC(O)=O)C=C3Br)C=C1C(C)C,-
OC(C1=CC=CC=C1NC(CCC2=CC=C(OC)C(OC)=C2)=O)=O,-
CC#CCOC(C1=C(N)C2=C(SC3=C2CC[C@@H](O)C3)N=C1C)=O,-
O=C1N(C2=C(O)C=CC(C(F)(F)F)=C2)C3=CC=C(C(F)(F)F)C=C3N1,-
O=C1NC=C(F)C(N1)=O,-
CC(NNC1=CC=CC=C1)=O,-
OC1=C(OC)C=C(C=C1)C[C@H]([C@@H](CC2=CC(OC)=C(OC)C=C2)CO3)C3=O,-
OC1=C(OC)C=C([C@@H]2[C@](CO[C@H]3C4=CC=C(O)C(OC)=C4)(C)[C@]3(C)CO2)C=C1,-
CC(C)C1=C(O)C(C(C)C)=CC(OC2=C(Br)C=C(C(O)=O)C=C2Br)=C1,-
CCCCOC(C1=C(C(OCCCC)=O)C=CC=C1)=O,-
CC1=C(C(C)=CC(OCC(O)=O)=C1)CC2=CC(C#CC3=CC=C(C(F)(F)F)C=C3)=C(O)C(C(C)C)=C2,-
CC1=C(C(C)=CC(OCC(O)=O)=C1)CC2=CC(C#CC3=CC=C(N=[N+]=[N-])C=C3)=C(O)C(C(C)C)=C2,-
CC1=C(C(C)=CC(OCC(O)=O)=C1)CC2=CC(C#CC3=CC=C(C(C)=O)C=C3)=C(O)C(C(C)C)=C2,-
CC1=C(C(C)=CC(OCC(O)=O)=C1)CC2=CC(C#CC3=CC=C(F)C=C3)=C(O)C(C(C)C)=C2,-
CC1=C(C(C)=CC(OCC(O)=O)=C1)CC2=CC(C#CC3=CC=C(CN=[N+]=[N-])C=C3)=C(O)C(C(C)C)=C2,-
CC1=C(C(C)=CC(OCC(O)=O)=C1)CC2=CC(C#CC3=CC(C(F)(F)F)=CC=C3)=C(O)C(C(C)C)=C2,-
CC1=C(C(C)=CC(OCC(O)=O)=C1)CC2=CC(C#CC3=C(C(F)(F)F)C=CC=C3)=C(O)C(C(C)C)=C2,-
CC1=CC(OCC(O)=O)=CC(C)=C1CC2=CC(C(C)C)=C(O)C(C#CC3=CC=CC(N(=O)=O)=C3)=C2,-
OC1=CC=C(C(C)(C)C2=CC=C(O)C=C2)C=C1,-
OC1=C(C(C)C)C=C(OC2=C(Br)C=C(C(O)=O)C=C2Br)C=C1C(C)C,-
OC1=C(C2=CC=C(N(=O)=O)C=C2)C=C(CC3=C(C)C=C(OCC(O)=O)C=C3C)C=C1C(C)C,-
OC1=C(C#CC2=CC=C(N(=O)=O)C=C2)C=C(CC3=C(C)C=C(OCC(O)=O)C=C3C)C=C1C(C)C,-
OC1=C(C(C)C)C=C(OC2=C(Br)C=C(CCC(O)=O)C=C2Br)C=C1/C=C/C3=CC=NC=C3,-
O=C(NNC(/C=C1CCN(C2=CC=C(N(=O)=O)C=C2)CC\1)=O)NC3=CC(C(F)(F)F)=CC=C3,-
[O-][S+](C(C=C1)=CC=C1/N=N\C(C=C2)=CC=C2NCC3=CC=CC=C3)([O-])=O,-
CC1=CC=C2C(N(C(C3=CC=C(N(=O)=O)C=C3)=O)CCC2)=C1,-
ClC1=C(Cl)C=CC(N2CCN(C(CC(N3CCN(C4=CC(Cl)=C(Cl)C=C4)CC3)=O)=O)CC2)=C1,-
ClC1=CC=C(OC2=NC=C(NC([C@H]3C[C@H]3C(O)=O)=O)C=C2)C(C4CCCCC4)=C1,-
O=C(C1=CC(N(=O)=O)=CC=C1)OC2=CC=CC=C2C(/C=C\C3=CC=C(Cl)C=C3)=O,-
FC1=CC(NC(N/N=C/C2=CC=C(C3=CC(N(=O)=O)=CC=C3)O2)=S)=CC=C1,-
O=C(/C=C/C1=CC=C(/C=C\C(C2=CC=C(N(=O)=O)C=C2)=O)C=C1)C3=CC=C(N(=O)=O)C=C3,-
COC1=C(OC)C=CC(CCNC(NC2=CC=C(N(=O)=O)C=C2OC)=O)=C1,-
CC1=CC(C)=C(CSC(C)(C)CNC(C2=CC=CC(N(=O)=O)=C2)=O)C(C)=C1,-
O=C1O[C@@H](C[C@H](O[C@@H]2OCCCC2)[C@@H]3COS(C)(C(C)(C)C)C)[C@@H]3C1,-
OC1=CC=C(/N=N\C2=CC=C(OC)C=C2)C=C1CN3CCCCC3,-
ClC1=CC=CC=C1C(NC2=C(C(NC3=CC=C(C(OCC)=O)C=C3)=O)C=CC=C2)=O,-
CCCCCC1=CC=C(/C=C/C(NC2=C(C(O)=O)C=CC=C2)=O)C=C1,-
O=C(NNC(/C=C1CCN(C2=CC=C(N(=O)=O)C=C2)CC\1)=O)NC3=C(C(C)C)C=CC=C3,-
O=C(NNC(/C=C1CCN(C2=CC=C(N(=O)=O)C=C2)CC/1)=O)NC3=C(CC)C=CC=C3,-
O=C(NNC(/C=C1CCN(C2=CC=C(N(=O)=O)C=C2)CC\1)=O)NC3=C(C(C)C)C=CC=C3C,-
O=C(NNC(/C=C1CCN(C2=CC=C(N(=O)=O)C=C2)CC/1)=O)NC3=CC(C)=CC=C3OC,-
